time,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15
0.00100708,384,352,5521,1312,5457,2288,352,65535,3280,352,11138,352,18068,352,2944,65535
0.0320053,352,352,5921,1168,5121,2368,352,65535,3280,352,11602,352,17924,352,2848,65535
0.0620041,384,352,5457,1440,5377,2464,352,65535,3168,352,11202,352,18068,336,2960,65535
0.0990067,368,352,5889,1328,5281,2496,352,65535,3200,352,11330,352,17940,352,2976,65535
0.129005,384,352,5025,1312,5153,2304,352,65535,2960,352,12034,352,17892,368,2944,65535
0.160004,384,352,5057,1232,5521,2128,352,65535,3216,352,12114,352,17876,352,2400,65535
0.196007,560,352,6017,1136,5601,2208,352,65535,3168,352,11154,352,17940,368,2688,65535
0.226006,352,352,5457,1056,5457,1216,336,65535,3008,352,10754,352,17972,352,2736,65535
0.255005,384,352,5057,1376,5729,1952,352,65535,3152,352,11426,352,17956,352,2784,65535
0.286003,352,352,4929,1408,5761,1104,352,65535,3168,352,11410,352,17860,400,3104,65535
0.316002,352,352,5665,1440,5793,1744,336,65535,3136,352,11298,352,17812,2144,3024,65535
0.345001,384,352,5473,1376,6369,1968,352,65535,3792,352,10978,352,17860,2064,2656,65535
0.377007,384,352,5089,1424,6401,1824,352,65535,4000,352,10770,352,17988,2272,2512,65535
0.407005,384,352,5201,1456,6081,2128,352,65535,3968,352,11106,336,17940,2080,2736,65535
0.437004,384,352,5201,1440,6145,1920,352,65535,3536,352,11474,352,18116,2096,2992,65535
0.467003,368,352,5025,1472,5473,1664,352,65535,3680,352,10754,352,18052,1472,3088,65535
0.497002,384,352,5345,1376,5633,1744,336,65535,3408,352,10978,352,17844,1600,2960,65535
0.528,400,368,4929,1344,5825,1744,352,65535,3760,352,11202,352,17764,1872,3104,65519
0.558006,384,352,5121,1424,6209,1840,352,65535,3520,352,11074,352,17924,2192,3040,65535
0.588005,384,352,5441,1312,5137,1968,352,65535,3584,352,11618,352,17732,2112,2960,65535
0.618004,384,352,5585,1408,5265,1792,352,65535,3872,352,11746,352,17732,1872,2832,65535
0.648003,384,336,6161,1344,5153,2096,352,65535,3776,352,11666,352,18052,1536,2608,65535
0.678001,384,352,5809,1408,4945,1920,352,65535,3360,352,11970,352,17764,2000,2976,65535
0.709007,352,352,5905,1424,6145,1984,352,65535,3280,352,11698,352,17748,2208,2624,65535
0.739006,384,352,5697,1488,5953,1808,352,65535,3120,352,11554,352,17844,2336,2624,65535
0.769005,368,352,5361,1536,6353,1840,352,65535,3184,352,11794,352,17988,2240,3376,65535
0.799004,384,352,5473,1584,5889,1936,352,65535,3152,352,11650,352,18084,2384,3088,65535
0.830002,384,352,5569,1520,6225,1856,352,65535,2880,352,11522,352,18276,2288,3120,65535
0.859001,368,352,5665,1504,5921,1840,352,65535,2976,352,11106,368,18372,2272,3232,65535
0.890007,352,352,5553,1504,5905,1744,352,65535,3280,352,11602,352,18244,2384,3264,65535
0.920006,384,352,5809,1504,5777,1616,336,65535,2816,352,11346,352,18212,2336,3040,65535
0.951004,352,352,5329,1584,4641,1616,352,65535,3328,352,11426,352,18276,2256,2896,65535
0.980003,352,352,5569,1536,4657,1760,352,65535,3280,336,11330,352,18276,2048,2944,65535
1.01,384,352,5505,1504,4673,1856,336,65535,3280,352,11554,352,18468,2208,3168,65535
1.041,384,352,5729,1680,4657,1616,352,65535,3296,352,11682,368,18452,2448,3024,65535
1.07101,384,352,5649,1696,5185,1824,352,65535,3296,352,11714,352,18564,2112,2848,65535
1.10101,384,352,5649,1664,5729,1680,352,65535,3312,336,11570,352,18580,2320,2544,65535
1.131,3152,352,5681,1712,5793,1760,352,65535,3056,352,11714,336,18228,2128,2304,65535
1.162,3584,352,6193,1632,5393,1680,352,65535,3232,352,11922,352,18260,1520,2704,65535
1.191,3680,352,6305,1616,5089,1776,352,65535,3200,352,11986,352,18308,1344,2976,65535
1.221,3648,352,6417,1600,5489,1744,352,65535,3152,352,11986,352,18180,1360,3088,65535
1.25201,3008,352,6417,1664,5073,1728,336,65535,3024,352,11954,352,18276,1440,2624,65535
1.283,3680,352,6113,1664,4865,1664,336,65535,2864,352,11938,352,18324,1136,2656,65535
1.312,3712,352,6705,1600,4913,1712,352,65535,3168,336,11986,352,18628,1264,3024,65535
1.342,3728,336,6481,1632,5249,1952,352,65535,3104,352,11874,352,18964,1056,2976,65535
1.373,3488,352,6177,1600,5169,1840,352,65535,3296,336,11938,352,19204,944,2880,65535
1.402,3600,352,6065,1520,4945,1760,352,65535,3200,352,11794,352,19140,1232,3072,65535
1.43301,3600,352,6081,1456,5137,1824,352,65535,3120,352,11346,352,19284,1216,2752,65535
1.46301,3264,352,5185,1360,5281,2080,352,65535,3104,352,10882,352,19284,1056,2720,65535
1.494,3360,352,4961,1312,5153,1968,352,65535,2800,352,10962,352,19364,992,2480,65535
1.523,3552,352,5297,1440,5793,2048,352,65535,2544,352,11154,352,19380,736,2384,65535
1.553,3552,336,5665,1536,5585,1936,352,65535,2736,352,11234,352,19380,688,2352,65535
