time,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15
0.00201416,384,352,4481,896,6625,352,352,65535,5073,352,17572,368,23077,5041,352,65535
0.03302,400,352,4705,880,6705,352,352,65535,5201,352,17540,384,22885,5201,352,65487
0.0630188,352,336,4529,912,6753,352,352,65535,5313,352,17556,384,22693,5121,352,65535
0.0930176,384,368,3568,880,6833,352,352,65535,6209,352,17556,352,23189,4865,384,65535
0.123016,384,352,3232,816,6673,352,352,65535,16868,368,17492,368,23557,4929,384,65535
0.153015,384,352,3856,896,7041,352,352,65535,15107,352,17588,384,22149,384,384,65535
0.184998,384,352,3920,832,7617,352,352,65535,6529,352,18276,352,21045,384,384,65535
0.214996,384,352,3984,928,7697,352,352,65535,6113,352,2336,352,22085,368,368,65535
0.246002,384,352,4032,912,7857,352,352,65535,6257,352,14659,368,22837,368,352,65535
0.28302,400,352,4193,832,7937,352,352,65535,6049,352,15907,368,22261,352,352,65535
0.313019,384,352,4000,848,7889,352,352,65535,5329,352,16323,368,22949,11154,352,65535
0.343018,384,352,3648,784,6289,352,336,65535,8930,2384,20068,352,22773,352,352,368
0.374023,352,352,3536,816,7329,352,336,65535,6289,3088,9682,352,23237,352,384,384
0.404022,400,336,2736,784,7937,352,352,65535,6721,3264,4673,352,22853,352,368,352
0.434021,352,336,2960,800,8001,352,352,65535,7425,3184,8802,368,23301,368,368,61839
0.46402,336,352,2496,832,7825,352,336,65535,8466,3072,18612,352,22597,5905,368,65535
0.494019,11234,352,3104,864,6961,352,352,65535,10514,2992,21461,352,22549,8514,368,720
0.524017,11154,352,3504,896,7265,352,352,65535,11234,2368,21221,368,22949,8177,384,65535
0.555023,10530,352,3168,848,6417,336,352,65535,22021,368,23525,368,23157,8546,448,65535
0.584015,13219,352,3040,656,5681,352,352,65535,23973,368,24886,384,24565,7601,544,65535
0.615021,12723,368,6305,656,5585,1424,352,65535,27222,352,26774,368,22037,10018,368,65535
0.64502,14851,352,4401,1216,6177,816,352,65535,22709,368,28294,2592,21941,12547,384,65519
0.675018,13827,352,4705,464,7121,848,6785,65535,24005,352,28807,8194,21397,18020,368,65535
0.705017,12771,352,4833,1488,6081,12707,12643,65535,23733,368,28614,9906,22629,16532,384,65535
0.736023,17156,352,5457,640,10898,8546,9474,65535,24069,352,30759,9170,24069,21829,384,65535
0.766022,17204,368,4785,576,11074,8834,8882,65535,18196,3504,28598,9154,23573,17300,2336,65535
0.796997,12659,352,4097,896,8962,8065,352,65535,13107,2096,25366,5553,20260,10834,3376,65535
0.827026,2448,352,5649,3328,9106,336,352,65535,9154,1296,21029,352,22709,10210,3296,65535
0.857025,384,352,5393,1456,6833,336,352,65535,7249,336,20164,352,22741,13667,1088,65535
