time,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15
0.0019989,3536,352,8898,384,4529,768,352,65535,4641,352,9218,352,17508,352,1296,65535
0.0319977,3584,352,8610,384,4577,608,352,65535,4529,352,9362,352,17412,352,1536,65535
0.0630035,3632,352,8610,368,4561,576,336,65535,4497,352,9298,352,17700,352,944,65535
0.0930023,3632,352,8626,384,4833,704,352,65535,4417,352,8642,352,17572,352,832,65535
0.123001,3536,352,8786,384,4769,784,352,65535,4513,352,8802,352,17572,352,1760,65535
0.152008,3488,368,9106,400,4833,832,352,65535,4785,352,8354,352,17588,352,2096,65535
0.186996,3360,352,9394,400,4577,672,352,65535,4657,352,8322,352,17492,352,1968,65535
0.21701,3408,352,9426,384,4497,672,352,65535,4401,352,8322,352,17620,352,2064,65535
0.246002,3296,352,9602,384,4577,640,352,65535,4385,352,8610,352,18052,352,2160,65535
0.276001,3248,336,9570,384,4385,720,352,65535,4449,352,9298,352,18116,352,2192,65535
0.306,3488,352,9442,400,4497,512,352,65535,4241,352,8914,352,18068,336,2144,65535
0.335999,3600,352,9554,384,4497,672,352,65535,4016,336,9010,352,17828,352,2128,65535
0.367004,3600,352,9602,384,4433,544,384,65535,4113,400,8690,416,17700,400,2192,65535
0.39801,3680,416,9618,432,3728,592,368,65535,4145,400,8706,400,17748,416,2256,65535
0.428009,3744,416,9522,432,3744,480,384,65535,4048,400,8177,400,17460,416,2240,65535
0.458008,3616,400,9586,416,3760,432,384,65535,4225,400,8177,400,17316,416,2336,65455
0.488007,3856,400,9634,448,3744,432,400,65535,4129,400,8177,400,17284,400,2384,65519
0.518005,3792,400,9618,416,3856,432,384,65535,3968,384,8626,400,17300,400,2384,65519
0.548996,3760,400,9762,432,3936,448,384,65535,4080,384,8802,400,17364,400,2416,65487
0.57901,3760,400,9730,400,3984,416,352,65535,4257,416,8338,416,17364,432,2576,65535
0.609009,3728,432,9778,448,4048,400,400,65535,4401,432,8546,448,17428,480,2624,63967
0.639999,3840,464,9714,480,4032,448,432,65535,4497,464,9058,480,17284,512,2656,65535
0.669006,4000,480,9730,496,4064,432,416,65535,4369,416,9314,432,17412,432,2640,65503
0.699005,3824,416,9714,448,4097,352,352,65535,4321,352,8338,352,17492,352,2640,65391
0.731003,3760,352,9826,352,4016,352,384,65535,4481,384,7569,352,17444,352,2528,63983
0.761002,3712,352,9890,384,4529,352,352,65535,4737,352,9138,352,17524,352,2528,65535
0.790009,3760,352,9906,384,4177,352,352,65535,4673,352,9618,352,17492,352,2528,65535
0.820007,3744,352,9794,400,2400,352,352,65535,4048,352,8402,336,26166,352,1040,65519
0.850006,896,352,464,384,704,352,400,65535,21893,352,6401,352,31447,352,1280,736
0.880005,13907,368,2048,400,4161,912,416,65535,30023,1168,7041,448,33928,544,1456,65343
0.911011,11474,528,4064,480,7233,960,544,65535,25638,576,4545,352,31815,592,5937,448
0.94101,672,5713,1456,784,9746,432,416,65535,6993,2544,6945,464,16468,480,7345,65535
0.971008,10674,6513,1488,992,4064,464,448,65535,4161,3536,3600,5409,17860,4849,4689,65535
1.00101,11058,7569,3104,400,8113,368,352,65535,3072,1536,5169,4513,13603,704,1456,65535
1.03101,12851,6401,576,352,9266,1488,352,65535,12178,2736,5441,8418,14387,8482,3952,65535
1.062,13395,6593,1488,3392,15939,1712,352,65535,22661,3408,7185,10786,14947,7521,4545,65535
1.093,18452,5841,1600,8081,15299,2848,8177,65535,20308,2896,4289,11394,672,16596,5921,65535
1.123,20452,4113,5057,5425,19524,2656,10274,65535,25078,5137,13107,13571,11826,12723,3792,65535
1.153,5633,1536,3280,5777,16323,1456,9218,65535,26342,384,15427,11218,12355,8834,6625,65535
1.183,6497,2112,3280,5329,15187,528,352,65535,25334,352,10946,11986,17492,17572,4577,65535
1.213,304,1168,5441,6401,14275,10914,352,65535,24469,368,19172,16291,8386,21333,4385,65455
1.244,224,352,1968,8786,13635,1232,352,65535,23829,352,18900,16147,8065,19268,8129,65487
1.27501,160,352,1488,11314,5969,13875,352,65535,15747,1952,25062,17348,16019,20997,6625,65535
1.304,256,352,3200,9218,720,8210,352,65535,688,352,25638,16115,18116,17636,5073,65471
1.334,304,352,4833,560,1760,672,352,65535,528,352,24774,12867,18932,352,5345,65055
1.364,5297,336,6753,352,2608,400,352,65535,432,352,21525,6913,19012,18116,5041,65263
1.394,5921,352,8322,352,4305,832,352,65535,1472,352,20501,352,18532,17492,4529,65535
1.425,5905,352,10306,384,4545,528,352,65535,7217,352,23685,1680,17412,23733,4737,352
1.455,5953,352,8177,608,4865,352,352,65535,17444,352,23765,352,16932,22629,2896,65535
1.485,4369,352,9394,6225,4737,352,352,65535,21909,352,24678,5905,16580,28935,2448,65535
1.515,3040,352,7249,352,4993,384,352,65535,23589,352,25894,1728,17028,29191,2240,65535
1.545,6449,352,8498,1872,5185,736,352,65535,28486,352,24197,2720,18468,27942,3808,65455
1.575,176,352,8594,2192,4064,2176,352,65535,26694,368,22405,352,17812,28166,4161,65535
1.61301,160,352,7265,944,5073,1840,352,65535,27942,368,22677,3104,18180,27014,4513,65535
1.644,800,352,6961,368,4801,1488,384,65535,29431,448,22501,2352,20757,26198,4241,65535
1.674,256,416,9186,400,4561,736,384,65535,26742,464,22293,432,18340,28935,5201,65535
1.703,5905,400,7969,384,4289,352,352,65535,25478,368,14659,352,18100,23333,3792,65535
1.733,1344,352,8194,384,4897,352,352,65535,21973,368,352,352,17108,352,4000,65535
1.763,6961,352,5697,352,4673,352,352,65535,23061,352,352,352,17044,352,3600,65535
1.79401,8001,352,7217,352,4961,352,352,65535,20821,384,352,352,17284,352,3552,65535
1.82401,7569,352,7601,352,4817,352,352,65535,22693,384,352,352,17028,352,4113,65535
1.854,5217,352,7169,336,5697,352,352,65535,22037,608,352,352,17124,368,4145,65535
1.884,352,352,5569,352,5937,416,352,65535,11906,448,352,352,17284,352,3840,352
1.91301,7185,352,5137,336,6001,480,336,65535,7265,672,336,352,17572,352,3344,65535
1.94301,7825,352,4993,352,5953,688,352,65535,6705,336,352,336,17796,352,4289,65535
1.97501,8674,352,6225,352,6033,976,352,65535,3648,352,352,352,17828,352,1616,65535
2.004,7729,352,4657,352,5889,336,352,65535,3456,352,336,352,17620,352,1888,65535
2.034,7425,368,5217,384,3280,352,352,65535,384,352,352,352,19252,352,3392,65535
2.065,7473,352,6721,352,5761,560,352,65535,6545,2016,352,352,21573,352,2896,65535
2.09401,7857,352,6545,352,5713,576,352,65535,21189,352,352,352,17588,352,2336,65535
2.12401,7953,368,6785,384,5569,368,352,65535,5953,2864,11490,352,18724,352,1616,65503
2.15401,7985,352,6737,320,5905,352,352,65535,5745,2464,8866,368,18996,352,1872,64559
2.185,7681,352,6929,352,5985,352,352,65535,5857,352,9554,352,18756,352,1760,65535
2.215,6913,352,7313,400,5969,352,352,65535,352,3792,2768,352,18644,352,1408,65503
2.24501,7473,352,7041,352,6033,352,352,65535,6833,2096,848,352,20645,352,1664,65535
2.27501,7713,352,7009,480,6033,352,352,65535,8177,1568,432,352,18852,352,1008,352
2.30501,9218,352,7377,352,5697,352,352,65535,8370,352,15459,352,19780,15475,352,65535
2.334,7505,352,6529,384,5761,624,512,65535,8177,544,18068,720,18084,16035,784,65535
2.36501,4257,480,6577,592,4032,544,592,65535,24614,656,28422,784,19412,16884,2512,65535
2.396,6481,528,7441,608,4881,576,608,65535,24565,704,27734,848,19780,14163,3504,65535
2.42601,8738,560,8594,672,5425,608,640,65535,25398,784,29799,912,20821,13123,864,800
2.45601,6081,560,7377,672,2096,592,7937,65535,25782,784,32920,944,22581,17604,912,65535
2.485,9314,608,9682,752,3424,640,7889,65535,26214,800,32824,1040,20645,18884,944,65535
2.51601,6321,576,11618,768,5361,672,7073,65535,25334,832,32519,1040,19732,17236,896,864
2.547,2064,528,8850,704,9874,704,672,65535,13011,720,26838,960,20677,17716,1200,65535
2.577,512,480,7777,688,11186,656,640,65535,8994,640,18820,832,15955,784,1744,784
2.60701,3712,496,7969,864,5201,624,608,65535,17124,4032,7953,752,16099,784,960,784
2.63701,8450,512,8290,768,7169,784,608,65535,24213,3632,1696,688,16580,15715,1472,784
2.66701,6881,496,6977,640,4881,1200,608,65535,9378,640,5345,736,18324,16852,848,784
2.69701,1728,448,6449,640,5041,592,608,65535,5761,576,10594,720,17188,16564,800,65535
2.728,432,496,6529,1152,4945,592,8962,65535,2656,3936,8690,736,17300,17876,816,784
2.75801,832,464,4689,640,4353,640,10034,65535,832,2512,7985,752,17300,16868,4257,65535
2.78801,1088,512,4657,656,4064,992,11314,65535,800,576,9298,736,18900,16484,832,65535
2.81801,768,512,2224,640,4353,1024,12050,65535,832,576,5553,720,17300,14755,800,65535
2.849,448,512,2576,1968,4769,1424,10658,65535,864,576,11442,768,20004,16067,832,65535
2.87801,4177,544,1696,2976,5265,2208,9602,65535,864,6529,12723,704,20613,18452,848,65503
2.916,7409,544,1936,5249,3600,640,8177,65535,896,1456,11458,784,21541,10130,800,65535
2.946,2608,544,592,9682,4609,1440,8161,65535,1504,3344,12499,752,21797,800,704,65503
2.97701,3328,704,816,9042,4177,1536,8738,65535,1168,4048,14291,784,21669,784,720,65535
3.007,3344,544,1824,5537,3904,1280,9362,65535,800,2384,14291,784,22085,784,3408,65535
3.03601,3600,528,1248,3920,4433,1808,9730,65535,864,1616,14771,752,21589,768,1056,65535
3.06601,416,416,1504,512,5345,480,496,65535,464,352,9922,352,20244,352,4048,65535
3.099,2640,336,2640,352,5553,352,352,65535,1056,352,5377,352,20196,368,384,65535
3.129,3664,352,3152,352,4945,352,352,65535,704,352,8177,352,18372,352,4321,65503
3.159,3856,352,4801,352,5681,352,336,65535,2800,352,7681,352,18340,352,2976,65535
3.18901,3920,352,4449,352,5377,352,352,65535,4833,368,5713,368,18404,352,384,65087
3.21901,4097,352,3776,352,5393,352,352,65535,4977,352,7521,352,18916,352,4369,65535
3.248,3728,352,4177,352,5153,352,352,65535,7457,352,16580,368,20052,1456,4769,368
3.27901,368,352,4048,352,5217,352,352,65535,528,352,19172,352,20452,15747,3696,65423
3.31,336,352,2704,352,5633,1040,848,65535,640,880,17764,352,18708,18004,4657,65535
3.34,4000,560,1920,688,11874,13315,5409,65535,2064,8177,19012,5249,19140,17700,5057,65535
3.369,3888,576,2912,1456,12226,12547,7585,65535,1584,9250,22069,5041,16420,16195,4433,65535
3.40001,4497,592,4048,1152,13619,13619,6737,65535,4241,9442,24357,6049,16612,20100,4481,65519
3.431,3888,608,2560,736,13699,14483,7681,65535,3632,9474,24565,5361,16548,21909,4433,65535
3.461,3904,592,5777,784,13795,14275,7041,65535,3712,10066,24565,8177,16740,21461,4561,65471
3.49901,3760,624,6337,800,13779,14979,6801,65535,4481,11090,24838,8738,16580,21973,4593,65535
3.528,3824,640,6433,1088,13699,15299,7377,65535,3984,10978,24774,8770,16772,22197,4625,65535
3.55901,3808,608,5409,1936,13731,15059,8097,65535,4881,10946,24646,8898,16980,22181,4689,65503
3.589,3840,592,5697,2256,13795,14531,7153,65535,4016,10530,24726,8850,18516,22277,4609,65535
3.62001,1200,544,4625,720,13123,22789,7905,65535,992,8658,31255,7425,18340,21589,992,65535
3.65001,976,528,5297,912,6129,24726,6929,65535,4048,11746,30455,976,16115,20212,4113,65535
3.68001,2176,544,8482,736,10386,20148,10450,65535,6689,2000,26678,7217,17652,21477,1872,65535
3.71001,352,512,11186,768,9666,20677,1040,65535,7249,8770,26774,976,18068,23525,5857,65535
3.74001,1488,528,8386,720,8546,23861,880,65535,6369,8226,23173,4593,17796,24726,7265,65535
3.771,2384,512,7217,704,8370,24357,832,65535,6433,7905,20276,928,17572,23461,7393,65535
3.80101,2656,512,7809,704,8594,22949,832,65535,6993,7953,21701,928,18196,26102,2656,65535
3.83101,928,512,8866,704,9298,22453,816,65535,5793,10162,22341,960,19124,29607,2576,65535
3.86101,944,512,4817,688,10322,22949,832,65535,5969,8418,22229,928,18564,29607,2560,65535
3.892,800,496,4064,672,11170,18756,784,65535,6065,10242,22037,944,17940,29639,2480,65487
3.92101,864,480,4737,672,10402,10114,720,65535,4993,9906,22229,896,19924,29063,2752,65519
3.952,1936,512,5393,640,3328,9186,672,65535,5249,640,14387,864,19684,24966,944,65535
3.983,2288,512,5057,672,3760,576,640,65535,8962,672,7169,768,22629,14259,3952,848
4.013,144,448,6785,656,2720,576,608,65535,5153,640,1168,736,18436,4705,3040,65535
4.043,400,480,6865,944,4929,576,640,65535,2608,576,2336,720,21845,1088,2912,64783
4.07201,352,448,4737,2448,5665,528,576,65535,3760,512,5505,656,22357,640,2624,13187
4.103,1568,352,5729,1104,4209,352,352,65535,22485,352,5937,368,19508,12098,2736,65535
4.13301,12291,352,6849,352,352,352,352,65535,25542,352,16211,736,23445,12114,3152,65535
4.164,14227,576,8370,1616,480,592,720,65535,26054,768,18244,832,27174,12130,1328,65231
4.19301,15491,608,2560,1616,464,592,608,65535,27782,752,21525,848,28214,14995,3168,65503
4.224,16852,592,2288,592,2512,560,608,65535,18852,1968,24742,864,27974,19780,912,65535
4.254,16724,800,11266,720,2224,560,640,65535,19796,928,17076,9794,15155,11586,5217,65215
4.284,13443,17492,9282,7121,7057,608,624,65535,17236,5089,15763,10130,14675,7729,9154,65535
4.315,13379,27126,10242,17764,5729,720,672,65535,19284,8290,14291,6993,17172,784,12307,65535
4.345,12579,27142,8594,24469,8001,688,656,65535,17636,6881,15795,9858,17764,800,14035,65535
4.375,13155,27222,9778,28695,4609,816,640,65535,24357,12787,17028,11490,18516,1360,10802,65535
4.405,14835,27526,9282,33224,3856,656,672,65535,26182,9698,6241,7665,20164,4753,14579,65535
