run,timestep,servo1,servo2,servo3,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16
15,4.365598440170288,175,103,80,512.0,24149.0,448.0,512.0,448.0,448.0,464.0,512.0,608.0,24133.0,512.0,512.0,480.0,400.0,480.0,480.
15,4.424213886260986,175,104,80,512.0,24213.0,512.0,5777.0,496.0,464.0,480.0,512.0,512.0,24165.0,512.0,496.0,464.0,544.0,480.0,464.
15,4.503673315048218,175,105,80,512.0,24197.0,560.0,1824.0,480.0,496.0,464.0,480.0,480.0,24149.0,528.0,1952.0,512.0,512.0,512.0,496.
15,4.552757024765015,175,106,80,448.0,24277.0,512.0,4785.0,496.0,480.0,496.0,464.0,480.0,24261.0,480.0,4625.0,528.0,448.0,496.0,480.
15,4.6184351444244385,175,107,80,560.0,24245.0,496.0,464.0,464.0,464.0,544.0,512.0,544.0,24325.0,512.0,480.0,496.0,480.0,480.0,480.
15,4.676423788070679,175,108,80,512.0,24277.0,464.0,4913.0,480.0,464.0,464.0,656.0,464.0,24373.0,560.0,5425.0,480.0,512.0,480.0,512.
15,4.759377956390381,175,109,80,512.0,23989.0,496.0,3136.0,480.0,336.0,512.0,448.0,512.0,24037.0,464.0,3168.0,480.0,448.0,480.0,480.
15,4.818691730499268,175,110,80,480.0,24149.0,480.0,2912.0,528.0,528.0,464.0,544.0,480.0,24261.0,544.0,2832.0,592.0,496.0,496.0,608.
15,4.878169775009155,175,111,80,480.0,24133.0,512.0,4305.0,496.0,512.0,512.0,480.0,464.0,24021.0,512.0,640.0,480.0,512.0,608.0,512.
15,4.9711830615997314,175,112,80,512.0,23845.0,544.0,7457.0,528.0,464.0,528.0,528.0,480.0,23749.0,464.0,7617.0,512.0,528.0,448.0,512.
15,5.069482088088989,175,113,80,528.0,23989.0,448.0,7249.0,464.0,480.0,464.0,528.0,480.0,23941.0,480.0,7201.0,592.0,432.0,400.0,464.
15,5.122720241546631,175,114,80,464.0,24565.0,608.0,7089.0,384.0,480.0,384.0,480.0,464.0,24565.0,480.0,7041.0,480.0,528.0,496.0,496.
15,5.204045295715332,175,115,80,464.0,24565.0,464.0,352.0,464.0,480.0,528.0,512.0,576.0,24565.0,464.0,496.0,480.0,480.0,480.0,496.
15,5.26688814163208,175,116,80,496.0,24710.0,480.0,7761.0,480.0,464.0,528.0,496.0,464.0,24726.0,480.0,7873.0,480.0,480.0,512.0,480.
15,5.318573474884033,175,117,80,480.0,24662.0,480.0,7761.0,528.0,480.0,464.0,592.0,480.0,24565.0,480.0,7777.0,464.0,464.0,528.0,464.
15,5.3778393268585205,175,118,80,528.0,24533.0,496.0,10050.0,480.0,464.0,528.0,480.0,480.0,24565.0,480.0,9698.0,480.0,480.0,544.0,528.
15,5.434614419937134,175,119,80,512.0,24694.0,480.0,7745.0,480.0,464.0,480.0,480.0,496.0,24565.0,640.0,7729.0,480.0,448.0,528.0,480.
15,5.505368709564209,175,120,80,480.0,24614.0,480.0,7649.0,464.0,480.0,480.0,512.0,528.0,24630.0,512.0,7729.0,512.0,480.0,496.0,512.
15,5.577493190765381,175,121,80,528.0,24710.0,496.0,7809.0,480.0,496.0,464.0,480.0,544.0,24646.0,528.0,7809.0,512.0,640.0,544.0,432.
15,5.656270980834961,175,122,80,480.0,24582.0,464.0,8177.0,512.0,400.0,480.0,496.0,480.0,24453.0,512.0,8258.0,512.0,480.0,480.0,480.
15,5.730931758880615,175,123,80,464.0,24710.0,384.0,576.0,528.0,464.0,480.0,512.0,480.0,24886.0,512.0,7345.0,512.0,512.0,480.0,480.
15,5.792547702789307,175,124,80,480.0,24806.0,544.0,7809.0,512.0,480.0,512.0,496.0,592.0,24742.0,464.0,7825.0,512.0,480.0,576.0,480.
15,5.856994867324829,175,125,80,480.0,24710.0,512.0,7761.0,496.0,464.0,624.0,480.0,544.0,24678.0,560.0,2240.0,464.0,496.0,560.0,480.
15,5.9216437339782715,175,126,80,496.0,24565.0,464.0,8001.0,512.0,512.0,496.0,496.0,512.0,24565.0,544.0,8306.0,512.0,512.0,512.0,544.
15,5.9818339347839355,175,127,80,512.0,24710.0,528.0,8466.0,464.0,480.0,512.0,496.0,480.0,24565.0,480.0,8482.0,768.0,464.0,528.0,480.
15,6.046229839324951,175,128,80,544.0,24726.0,480.0,8113.0,480.0,528.0,480.0,528.0,496.0,24678.0,480.0,8113.0,464.0,544.0,528.0,512.
15,6.110769271850586,175,129,80,480.0,24838.0,528.0,8866.0,448.0,480.0,544.0,496.0,496.0,24806.0,528.0,8882.0,528.0,480.0,544.0,512.
15,6.1749584674835205,175,130,80,512.0,24806.0,560.0,480.0,528.0,576.0,560.0,656.0,528.0,24790.0,528.0,576.0,512.0,512.0,576.0,496.
15,6.235255002975464,175,131,80,528.0,24822.0,528.0,8145.0,480.0,512.0,640.0,480.0,528.0,24982.0,480.0,8177.0,480.0,512.0,512.0,480.
15,6.299249649047852,175,132,80,496.0,24565.0,480.0,688.0,512.0,480.0,512.0,528.0,512.0,24485.0,496.0,688.0,512.0,480.0,512.0,528.
15,6.376771688461304,175,133,80,512.0,24453.0,480.0,528.0,528.0,496.0,512.0,544.0,512.0,24565.0,512.0,592.0,608.0,480.0,480.0,576.
15,6.448798894882202,175,134,80,576.0,24517.0,528.0,480.0,560.0,464.0,512.0,496.0,528.0,24293.0,512.0,464.0,480.0,576.0,480.0,480.
15,6.5105345249176025,175,135,80,464.0,24565.0,480.0,1536.0,512.0,512.0,480.0,512.0,480.0,24565.0,464.0,8177.0,496.0,464.0,480.0,320.
15,6.572985887527466,175,136,80,512.0,24646.0,480.0,11314.0,480.0,480.0,480.0,576.0,544.0,24742.0,496.0,10994.0,512.0,480.0,480.0,464.
15,6.6237709522247314,175,137,80,512.0,24565.0,480.0,8626.0,496.0,480.0,480.0,560.0,496.0,24630.0,496.0,9634.0,448.0,480.0,480.0,512.
15,6.68628191947937,175,138,80,480.0,24774.0,496.0,8177.0,528.0,560.0,496.0,512.0,480.0,24934.0,480.0,8177.0,480.0,544.0,464.0,528.
15,6.7490925788879395,175,139,80,576.0,24277.0,480.0,8434.0,480.0,464.0,464.0,512.0,512.0,24565.0,480.0,9810.0,544.0,528.0,512.0,544.
