run,timestep,servo1,servo2,servo3,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16
4,8.893366813659668,175,140,80,544.0,4833.0,544.0,16307.0,512.0,480.0,2800.0,65535.0,512.0,4945.0,592.0,16275.0,528.0,512.0,2832.0,65535.
4,8.983930587768555,175,141,80,512.0,5009.0,512.0,16420.0,480.0,480.0,2720.0,65535.0,464.0,5009.0,512.0,16436.0,512.0,480.0,2768.0,65535.
4,9.049523830413818,175,142,80,528.0,4785.0,480.0,17140.0,480.0,400.0,3088.0,65535.0,512.0,4769.0,528.0,17028.0,480.0,480.0,3072.0,65535.
4,9.123927116394043,175,143,80,512.0,5825.0,528.0,17508.0,480.0,480.0,3680.0,65535.0,512.0,5793.0,528.0,17492.0,512.0,480.0,3664.0,65535.
4,9.201786518096924,175,144,80,560.0,4929.0,480.0,18084.0,512.0,464.0,3712.0,65535.0,480.0,4817.0,576.0,18340.0,544.0,528.0,3680.0,65535.
5,0.012247562408447266,175,35,80,512.0,3584.0,464.0,480.0,480.0,464.0,480.0,480.0,464.0,3584.0,480.0,496.0,528.0,448.0,480.0,480.
5,0.0955348014831543,175,36,80,480.0,7617.0,944.0,944.0,944.0,944.0,928.0,944.0,928.0,928.0,912.0,928.0,928.0,928.0,928.0,64943.
5,0.17032647132873535,175,37,80,944.0,928.0,928.0,960.0,928.0,928.0,944.0,928.0,928.0,960.0,944.0,960.0,944.0,944.0,944.0,928.
5,0.26371240615844727,175,38,80,944.0,944.0,944.0,928.0,944.0,912.0,944.0,944.0,944.0,928.0,944.0,944.0,944.0,928.0,960.0,928.
5,0.325176477432251,175,39,80,928.0,928.0,944.0,928.0,944.0,944.0,944.0,928.0,944.0,944.0,944.0,944.0,944.0,944.0,928.0,928.
5,0.38775086402893066,175,40,80,528.0,6417.0,544.0,13955.0,512.0,6705.0,3408.0,65391.0,464.0,6401.0,512.0,13331.0,544.0,6721.0,3264.0,65455.
5,0.47797536849975586,175,41,80,464.0,7569.0,464.0,13763.0,480.0,6753.0,3584.0,65535.0,480.0,7601.0,496.0,13907.0,464.0,6753.0,3632.0,65535.
5,0.5394001007080078,175,42,80,528.0,7633.0,512.0,14179.0,576.0,6529.0,3664.0,65391.0,528.0,7601.0,464.0,13619.0,496.0,6305.0,3728.0,65391.
5,0.629744291305542,175,43,80,560.0,7761.0,448.0,3168.0,512.0,6353.0,3712.0,65535.0,528.0,7729.0,512.0,3232.0,512.0,6305.0,3472.0,65535.
5,0.7128548622131348,175,44,80,528.0,6721.0,464.0,17540.0,512.0,6305.0,3472.0,65471.0,480.0,6353.0,480.0,17412.0,480.0,6321.0,3472.0,65391.
5,0.7988433837890625,175,45,80,496.0,6145.0,448.0,16964.0,464.0,6481.0,3600.0,65231.0,528.0,6305.0,464.0,17220.0,512.0,6417.0,3600.0,65535.
5,0.8761260509490967,175,46,80,528.0,7377.0,400.0,17332.0,512.0,6529.0,3712.0,65535.0,496.0,7057.0,528.0,3360.0,528.0,6433.0,3744.0,65535.
5,0.965386152267456,175,47,80,480.0,7137.0,560.0,17860.0,544.0,6353.0,3680.0,65439.0,384.0,7201.0,432.0,3296.0,496.0,6369.0,3712.0,65519.
5,1.0439720153808594,175,48,80,512.0,7073.0,512.0,17364.0,560.0,6465.0,3648.0,65439.0,544.0,6977.0,480.0,17556.0,544.0,6417.0,3600.0,65535.
5,1.1213350296020508,175,49,80,464.0,7377.0,512.0,18052.0,512.0,6481.0,2592.0,65535.0,528.0,7329.0,480.0,18052.0,512.0,6625.0,2576.0,65535.
5,1.1793184280395508,175,50,80,336.0,7073.0,464.0,18020.0,448.0,6449.0,2960.0,65535.0,560.0,7041.0,560.0,17876.0,528.0,6465.0,3104.0,65471.
5,1.2621350288391113,175,51,80,528.0,6481.0,528.0,2960.0,560.0,6737.0,3136.0,65519.0,464.0,6465.0,528.0,16355.0,448.0,6609.0,3104.0,65487.
5,1.356609582901001,175,52,80,544.0,6737.0,512.0,16035.0,496.0,6625.0,3504.0,65343.0,480.0,6673.0,576.0,15971.0,480.0,6705.0,3472.0,65455.
5,1.438858985900879,175,53,80,512.0,6561.0,512.0,2720.0,512.0,6705.0,3536.0,65535.0,528.0,6673.0,544.0,15939.0,512.0,6721.0,3552.0,65535.
5,1.5149500370025635,175,54,80,688.0,6705.0,512.0,2784.0,384.0,6737.0,3456.0,65535.0,512.0,6673.0,656.0,12867.0,512.0,6913.0,3488.0,65535.
5,1.6103715896606445,175,55,80,480.0,6321.0,464.0,13283.0,528.0,6817.0,3008.0,65535.0,544.0,6305.0,624.0,3200.0,544.0,6833.0,2896.0,64223.
5,1.685563564300537,175,56,80,480.0,5921.0,480.0,10594.0,560.0,6673.0,3360.0,65535.0,464.0,5873.0,512.0,10290.0,480.0,6769.0,3312.0,65535.
5,1.7850184440612793,175,57,80,512.0,5953.0,544.0,11650.0,480.0,6801.0,3248.0,65535.0,560.0,5857.0,464.0,11698.0,496.0,6689.0,3472.0,65503.
5,1.8608977794647217,175,58,80,608.0,4737.0,512.0,11778.0,528.0,6801.0,2992.0,65487.0,528.0,4689.0,464.0,11778.0,496.0,6753.0,3072.0,65535.
5,1.9402999877929688,175,59,80,576.0,5201.0,528.0,12018.0,528.0,6817.0,3136.0,65519.0,512.0,4913.0,496.0,11714.0,480.0,6849.0,3152.0,65535.
5,2.028202772140503,175,60,80,544.0,5153.0,480.0,8177.0,512.0,6977.0,3216.0,65535.0,528.0,5169.0,480.0,7649.0,688.0,7041.0,3152.0,65535.
5,2.115945339202881,175,61,80,560.0,5569.0,480.0,5713.0,512.0,7105.0,3360.0,65535.0,464.0,5633.0,512.0,6865.0,496.0,6961.0,3392.0,65535.
5,2.1913933753967285,175,62,80,512.0,5777.0,464.0,6113.0,512.0,4993.0,3584.0,65471.0,528.0,5761.0,512.0,6065.0,496.0,4977.0,3472.0,65535.
5,2.2714853286743164,175,63,80,464.0,6097.0,464.0,5729.0,528.0,5089.0,3664.0,65503.0,528.0,6145.0,592.0,5665.0,512.0,5121.0,3616.0,65535.
5,2.3418774604797363,175,64,80,512.0,5777.0,528.0,5793.0,512.0,5217.0,3680.0,65535.0,512.0,5873.0,464.0,5729.0,464.0,5201.0,3632.0,65343.
5,2.417133092880249,175,65,80,512.0,5937.0,496.0,5713.0,512.0,5217.0,3776.0,65471.0,512.0,5953.0,560.0,5761.0,496.0,5249.0,3712.0,65535.
5,2.4835336208343506,175,66,80,544.0,6081.0,480.0,5825.0,480.0,5377.0,3664.0,65407.0,448.0,6081.0,464.0,5809.0,512.0,5345.0,3664.0,65535.
5,2.5609920024871826,175,67,80,528.0,6177.0,640.0,5825.0,512.0,5297.0,3712.0,65535.0,464.0,6161.0,512.0,5825.0,480.0,5265.0,3696.0,65423.
5,2.6529252529144287,175,68,80,544.0,6369.0,512.0,6017.0,416.0,5393.0,3776.0,65487.0,512.0,6337.0,576.0,5841.0,544.0,5297.0,3728.0,65535.
