run,timestep,servo1,servo2,servo3,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p1
0,0.010839700698852539,175,35,80,4481.0,14803.0,560.0,544.0,560.0,560.0,6465.0,576.0,4609.0,15427.0,560.0,528.0,544.0,544.0,6529.0,560.
0,0.07245969772338867,175,36,80,4593.0,15795.0,544.0,544.0,544.0,528.0,6609.0,560.0,4593.0,15875.0,512.0,560.0,544.0,544.0,6593.0,560.
0,0.13496828079223633,175,37,80,4561.0,15939.0,544.0,544.0,544.0,528.0,6689.0,544.0,4609.0,15955.0,512.0,576.0,528.0,560.0,6673.0,544.
0,0.19719767570495605,175,38,80,4593.0,15971.0,560.0,544.0,528.0,544.0,6657.0,544.0,4657.0,16051.0,576.0,512.0,544.0,544.0,6561.0,560.
0,0.25954389572143555,175,39,80,4609.0,15555.0,576.0,704.0,528.0,528.0,6785.0,528.0,4641.0,16099.0,544.0,528.0,512.0,560.0,6689.0,528.
0,0.33796238899230957,175,40,80,4577.0,16131.0,544.0,544.0,512.0,528.0,6561.0,576.0,4609.0,15539.0,544.0,560.0,560.0,544.0,6705.0,544.
0,0.40022730827331543,175,41,80,4657.0,16195.0,544.0,544.0,528.0,528.0,6673.0,64047.0,4625.0,16163.0,512.0,560.0,544.0,512.0,6721.0,63183.
0,0.477264404296875,175,42,80,4433.0,15683.0,560.0,544.0,480.0,528.0,6737.0,65183.0,4705.0,16259.0,528.0,512.0,528.0,528.0,6801.0,64991.
0,0.5559196472167969,175,43,80,4689.0,15891.0,544.0,544.0,560.0,736.0,6673.0,64783.0,4657.0,16179.0,528.0,560.0,560.0,544.0,6657.0,64895.
0,0.6179897785186768,175,44,80,512.0,16676.0,560.0,512.0,528.0,528.0,6945.0,65359.0,544.0,17028.0,512.0,17572.0,528.0,512.0,6625.0,61711.
0,0.6946902275085449,175,45,80,544.0,18708.0,544.0,512.0,528.0,544.0,6865.0,65327.0,4145.0,18868.0,544.0,512.0,560.0,560.0,6433.0,59806.
0,0.7747328281402588,175,46,80,544.0,18916.0,544.0,18724.0,512.0,544.0,7025.0,65311.0,544.0,19012.0,544.0,18756.0,560.0,512.0,6993.0,65263.
0,0.851975679397583,175,47,80,528.0,17284.0,560.0,17220.0,560.0,544.0,6673.0,62399.0,528.0,18196.0,576.0,18020.0,544.0,528.0,6945.0,65311.
0,0.9147176742553711,175,48,80,592.0,17892.0,560.0,18356.0,576.0,528.0,6497.0,62575.0,592.0,18500.0,544.0,19108.0,544.0,512.0,6673.0,65359.
0,0.9766671657562256,175,49,80,832.0,15379.0,560.0,18532.0,560.0,544.0,544.0,62671.0,640.0,16131.0,560.0,19428.0,528.0,560.0,544.0,65327.
0,1.0541601181030273,175,50,80,656.0,16051.0,528.0,19652.0,528.0,544.0,544.0,65359.0,608.0,16964.0,528.0,19812.0,528.0,528.0,560.0,65343.
0,1.1181449890136719,175,51,80,544.0,12803.0,528.0,17972.0,560.0,560.0,560.0,62591.0,544.0,15059.0,528.0,18820.0,528.0,528.0,544.0,65327.
0,1.19642972946167,175,52,80,560.0,15363.0,512.0,18980.0,544.0,528.0,480.0,59342.0,560.0,14147.0,560.0,18244.0,544.0,560.0,544.0,62351.
0,1.2744841575622559,175,53,80,544.0,17684.0,512.0,19220.0,528.0,528.0,512.0,59198.0,576.0,16083.0,736.0,18308.0,576.0,560.0,544.0,62383.
0,1.3525238037109375,175,54,80,560.0,16692.0,592.0,18308.0,544.0,544.0,2464.0,62415.0,528.0,16868.0,608.0,19124.0,528.0,528.0,1968.0,65215.
0,1.4140210151672363,175,55,80,544.0,15411.0,592.0,18964.0,512.0,512.0,544.0,65343.0,528.0,15683.0,464.0,17092.0,560.0,576.0,560.0,62207.
0,1.4763000011444092,175,56,80,576.0,16275.0,528.0,18052.0,576.0,576.0,560.0,60062.0,544.0,15667.0,544.0,18932.0,560.0,544.0,544.0,62671.
0,1.5377769470214844,175,57,80,560.0,14547.0,560.0,17844.0,560.0,560.0,4369.0,60222.0,576.0,15283.0,560.0,528.0,544.0,544.0,5777.0,65423.
0,1.599104404449463,175,58,80,560.0,16259.0,560.0,18372.0,560.0,560.0,560.0,62543.0,544.0,17668.0,512.0,19908.0,512.0,560.0,528.0,65375.
0,1.6608738899230957,175,59,80,592.0,16868.0,560.0,19124.0,560.0,560.0,560.0,62671.0,640.0,17524.0,544.0,19668.0,528.0,464.0,544.0,65295.
