run,timestep,servo1,servo2,servo3,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p1
0,0.007612705230712891,170,10,75,480.0,24934.0,560.0,17796.0,544.0,704.0,11858.0,65535.0,4481.0,544.0,544.0,544.0,544.0,544.0,20388.0,65503.
0,0.07438802719116211,170,11,75,6097.0,24197.0,544.0,18644.0,544.0,528.0,11746.0,65535.0,6241.0,576.0,544.0,576.0,592.0,560.0,21349.0,65487.
0,0.14390230178833008,170,12,75,576.0,24229.0,528.0,18148.0,544.0,560.0,9970.0,65535.0,6337.0,544.0,560.0,560.0,2128.0,528.0,22181.0,65503.
0,0.20083355903625488,170,13,75,560.0,24630.0,544.0,17092.0,480.0,496.0,8978.0,65535.0,5921.0,528.0,560.0,560.0,3152.0,544.0,22581.0,65503.
0,0.26721620559692383,170,14,75,640.0,24517.0,576.0,18388.0,560.0,560.0,12819.0,65535.0,6449.0,560.0,608.0,560.0,3264.0,560.0,22485.0,65503.
0,0.325225830078125,170,15,75,608.0,24501.0,576.0,18068.0,560.0,576.0,12194.0,65535.0,6145.0,576.0,576.0,560.0,704.0,560.0,22005.0,65487.
0,0.3920013904571533,170,16,75,576.0,24309.0,560.0,18500.0,576.0,560.0,12355.0,65535.0,5041.0,576.0,560.0,544.0,528.0,512.0,21893.0,65535.
0,0.4458186626434326,170,17,75,560.0,24229.0,576.0,18564.0,560.0,560.0,11602.0,65535.0,5681.0,944.0,560.0,1504.0,560.0,3280.0,21493.0,65487.
0,0.5130231380462646,170,18,75,576.0,24213.0,560.0,18644.0,464.0,480.0,13363.0,65535.0,1632.0,560.0,576.0,1200.0,560.0,3248.0,18852.0,65471.
0,0.5753958225250244,170,19,75,544.0,24213.0,560.0,18132.0,1424.0,608.0,12707.0,65535.0,3456.0,576.0,560.0,1440.0,560.0,3392.0,19460.0,65503.
0,0.6286869049072266,170,20,75,832.0,24421.0,592.0,17700.0,576.0,560.0,12931.0,65519.0,3456.0,592.0,560.0,1232.0,560.0,2848.0,18724.0,65535.
0,0.6869847774505615,170,21,75,560.0,24469.0,560.0,17604.0,560.0,576.0,12995.0,65535.0,4369.0,560.0,576.0,960.0,464.0,3024.0,18772.0,65503.
0,0.7410886287689209,170,22,75,560.0,24373.0,576.0,17476.0,560.0,576.0,13203.0,65535.0,5777.0,576.0,576.0,1280.0,576.0,2400.0,17876.0,65503.
0,0.7988626956939697,170,23,75,544.0,24373.0,1056.0,17636.0,592.0,576.0,12995.0,65535.0,5377.0,528.0,560.0,6433.0,560.0,2432.0,16420.0,65503.
0,0.8754205703735352,170,24,75,608.0,24165.0,576.0,18004.0,576.0,560.0,13091.0,65535.0,5073.0,592.0,544.0,6865.0,560.0,2368.0,15923.0,65487.
