timestep,servo1,servo2,servo3,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16
0.016440629959106445,170,10,75,560.0,9346.0,496.0,24726.0,480.0,416.0,560.0,65535.0,11170.0,528.0,464.0,9298.0,24005.0,512.0,400.0,480.
0.08841395378112793,170,11,75,496.0,10210.0,384.0,24582.0,464.0,400.0,384.0,65535.0,11154.0,480.0,352.0,9138.0,23349.0,464.0,496.0,65215.
0.14949965476989746,170,12,75,480.0,10466.0,432.0,24549.0,480.0,352.0,480.0,65535.0,11138.0,464.0,464.0,9266.0,23285.0,480.0,496.0,65327.
0.20400738716125488,170,13,75,416.0,10082.0,416.0,24437.0,464.0,416.0,400.0,65535.0,11042.0,416.0,416.0,9666.0,23365.0,464.0,448.0,464.
0.2550210952758789,170,14,75,336.0,10946.0,464.0,24758.0,480.0,512.0,528.0,65535.0,11026.0,512.0,528.0,9810.0,23717.0,416.0,416.0,65375.
0.33399319648742676,170,15,75,384.0,10706.0,480.0,24662.0,512.0,480.0,480.0,65535.0,11138.0,496.0,480.0,9922.0,23269.0,5457.0,480.0,64431.
0.39275336265563965,170,16,75,512.0,10546.0,368.0,24902.0,512.0,400.0,416.0,65535.0,10978.0,464.0,400.0,10114.0,23301.0,1328.0,432.0,65375.
0.48277711868286133,170,17,75,464.0,9634.0,480.0,24694.0,416.0,496.0,448.0,65535.0,11138.0,432.0,512.0,10034.0,23477.0,7361.0,416.0,64975.
0.545933723449707,170,18,75,528.0,9698.0,512.0,24774.0,320.0,512.0,512.0,65455.0,11106.0,528.0,512.0,10418.0,23349.0,7249.0,480.0,65375.
0.6091651916503906,170,19,75,528.0,9666.0,464.0,24565.0,512.0,448.0,416.0,65535.0,11090.0,512.0,400.0,12995.0,23573.0,7313.0,384.0,65247.
0.6840779781341553,170,20,75,480.0,7249.0,544.0,25558.0,512.0,592.0,528.0,65535.0,11106.0,528.0,528.0,13731.0,23349.0,7345.0,352.0,65535.
0.7448327541351318,170,21,75,544.0,9186.0,480.0,25862.0,544.0,512.0,512.0,65535.0,11058.0,448.0,432.0,13123.0,23477.0,528.0,512.0,64815.
