time_step,x,y,z,s1,s2,s3,s4,s5,s6
5,10.1035,-3.07894,-0.55306,0.759964,-1.67915,-0.757532,4.64456,2.1231,-0.823138
5,9.86171,-2.61447,-0.351948,-0.988959,1.22695,-1.94313,-6.42456,1.91006,3.03031
5,9.94551,-2.31759,-0.533907,0.228093,2.22569,-0.258405,8.13615,1.61901,-4.26852
5,9.92636,-3.15316,-0.488417,-0.961699,1.30878,5.09101,-8.04414,-1.42041,-2.37897
5,9.82819,-2.96163,-0.557849,0.569762,1.56814,-3.32861,-11.994,-2.94004,-4.14356
5,10.228,-2.91614,-0.162806,-1.06713,-2.86339,-2.45751,0.987062,-1.94498,0.509646
6,9.92396,-2.60489,-0.162806,1.09833,3.42528,2.43664,-16.6394,3.32157,-4.14408
6,9.84016,-2.46603,-0.023942,0.684102,1.88253,-2.79837,3.12162,-0.795716,2.12436
6,9.99339,-2.67432,-0.134075,0.348339,1.84802,0.84709,-6.48447,-0.607998,-1.16271
6,9.94312,-2.28886,-0.184353,0.17187,-3.02877,-24.1677,10.4293,-1.22474,-2.20806
6,9.89045,-2.6432,-0.287304,-1.65808,0.134621,4.44938,8.0054,3.33406,4.2282
6,10.0532,-2.60968,-0.0454898,1.91074,-1.53076,3.34404,8.11441,2.89497,2.62173
6,9.85693,-2.45406,-0.543483,1.18135,1.38142,4.92572,-15.1299,-3.99755,1.93894
6,9.97903,-1.99198,-0.371101,-0.234283,-2.01127,0.362253,14.598,-0.70385,3.65857
6,9.93833,-2.39899,-0.0311246,-1.93038,2.48775,-0.842316,-3.30753,-0.836741,2.94366
6,9.92157,-2.46124,-0.270545,-1.71409,-1.88121,5.25547,3.12587,-1.28946,-1.56442
6,10.0149,-2.13563,-0.550666,-0.909041,-1.80561,-2.67467,-3.57074,-0.408593,5.02522
6,9.90481,-1.81241,0.0574608,-1.89165,-0.12909,1.09692,-11.2233,-2.22491,-2.09958
7,9.9096,-2.25055,-0.1652,13.0405,-1.73765,1.35897,1.38074,1.30516,-0.604176
7,10.0221,-1.35512,-0.107739,14.6885,1.27305,-0.0953766,-1.5842,4.03752,1.78697
7,9.84496,-1.87466,0.0071826,20.9043,1.41981,-1.25285,-3.11094,-1.1286,4.01509
7,9.94551,-2.12126,-0.572214,10.9439,-1.20546,1.32236,8.27351,-0.29985,3.08515
7,9.90242,-2.05422,-0.414197,-0.262402,3.25582,-2.05778,-7.88016,-0.12414,-3.01009
7,9.81622,-2.10929,-0.138864,7.93317,-2.07606,0.188175,0.983045,-0.663575,2.43809
7,10.0748,-2.5594,-0.167594,-1.98239,0.927499,3.07989,7.36887,-0.0769987,-2.16836
7,10.1299,-2.24337,-0.244209,-10.6724,-0.205703,-1.93716,-9.42059,-1.45539,-0.529972
7,10.1442,-2.6025,0.0646434,-14.5122,-2.205,1.31822,12.5567,-2.58313,-4.83415
