time_step,x,y,z,s1,s2,s3,s4,s5,s6
0,9.97663,-1.99198,-0.237026,47.52,46.08,46.08,257.76,44.64,38.88
0,8.46829,0.296881,-1.48201,-0.936005,1.87199,-1.87199,100.814,3.8448,3.9312
1,10.7955,3.1364,1.89142,-2.63851,-0.111172,-5.99789,114.483,0.261359,-2.31452
1,4.17309,-2.88262,-2.43011,22.4581,3.87058,-0.818613,-42.2875,-1.15556,0.226619
1,9.84974,1.88184,-3.06937,-13.0947,-4.34536,-8.5479,-121.001,3.94064,-1.20649
1,9.68454,1.46765,-2.37265,-16.0733,-2.15821,-4.92168,59.513,0.363732,-0.709759
1,10.3549,1.16598,-1.46525,-10.7899,0.682271,1.00719,-115.249,2.31238,-0.0560589
1,10.0796,0.131681,3.8403,-2.13649,-1.2515,0.570816,11.0704,1.32515,-0.60601
1,10.3932,3.28724,0.438139,0.14387,0.0792345,-0.0157448,-8.90148,-1.60859,-2.39381
1,9.54329,1.8172,2.08535,-3.00473,3.28354,-1.1719,113.811,-0.689028,3.49111
1,9.50977,0.986411,1.5275,-0.611496,0.763365,-0.679011,-17.8656,-1.76869,-4.46478
1,10.4172,2.07577,-0.356736,0.0802426,-1.14205,-0.342147,-17.0227,-2.73785,-0.165937
1,10.3214,0.909797,-0.332794,1.21111,-3.27365,0.436297,20.6219,1.37004,2.98065
1,10.2663,0.672771,0.342371,-3.3187,3.00444,0.268146,-32.2886,3.19057,-1.9791
1,10.1634,2.42293,0.497994,-2.28065,0.74935,-2.74372,-42.1296,0.0477031,-0.141722
2,9.96945,1.69031,1.41258,1.70358,-2.57787,-7.86718,34.1711,-3.29543,2.88507
2,9.95748,1.74537,0.991199,-2.09375,0.746989,-7.32196,41.0739,-0.775862,3.72439
2,10.2615,1.17316,0.464475,1.2881,0.54694,0.1178,29.804,-0.00227358,1.50012
2,10.0892,0.984017,0.514753,0.537033,0.889079,-11.2584,-17.9474,0.032898,-3.31177
2,10.1921,1.66636,0.624887,-2.62532,-2.38845,-5.09505,-25.5767,2.29438,-2.28939
2,10.0102,1.52511,1.19471,-1.84878,1.45548,-4.73383,3.22262,-1.85311,-0.0441995
2,10.0796,1.79565,0.696712,1.85149,0.647116,-1.38333,21.2562,1.09921,2.12013
2,10.0556,1.7334,0.325611,-1.1198,2.35594,0.846429,9.68092,-1.55594,2.67162
2,10.2304,1.1971,0.639252,-3.91354,2.84991,1.68954,-10.1689,1.62669,-3.39676
2,10.1347,1.76213,0.584185,-1.38527,0.713848,0.712202,-24.7281,-1.26311,-2.69273
2,9.89284,1.58975,0.6608,1.64433,0.288353,-2.84383,11.5654,2.60846,-2.0168
2,9.8665,1.52032,0.445321,-1.56279,-4.18423,-1.68083,18.3968,1.87102,3.80181
2,10.0269,1.43891,0.40462,1.90106,0.973223,0.288128,9.69932,-0.167449,2.29399
2,9.97185,1.7334,0.761356,2.91394,2.79381,1.68124,-13.8193,-3.89483,-4.29474
3,10.0532,1.53708,0.713472,-0.668953,-2.74252,-0.779979,-14.8077,-0.278811,1.12308
3,10.0748,1.66636,0.40462,-3.09409,0.561337,0.611065,-3.44305,-2.03476,0.538383
3,9.84256,1.47962,0.847547,0.207729,1.05132,-5.73118,4.70403,2.01454,-2.91966
3,10.1155,1.1133,0.723049,-2.16227,-3.43259,-2.74623,14.1698,1.25816,0.255653
3,10.0868,1.29287,0.435745,-3.61048,1.98033,2.14472,-48.0769,-0.194314,1.41464
3,10.0365,1.30723,0.981623,-4.04352,1.90477,-3.48775,-1.00554,0.969414,-5.78598
