time_step,x,y,z,s1,s2,s3,s4,s5,s6
5,9.77552,-4.72615,-0.823605,-3.22222,0.057813,0.0497259,8.99409,-0.765475,0.200158
5,10.058,-4.10845,-0.100556,-1.46085,-4.38319,3.20848,-5.86555,-4.2917,2.1846
5,9.84256,-2.34153,0.955286,1.3396,-2.5448,-2.99408,-18.0402,-3.66503,-1.92417
6,10.228,-2.77248,-0.670376,-0.598596,2.13011,-1.04285,16.1041,-3.44845,2.80524
6,9.94791,-3.632,-0.950498,0.198528,-2.9723,0.967186,0.603154,0.739119,0.574295
6,10.1777,-4.58011,-0.31364,1.58155,1.59492,0.606958,-6.88355,2.85597,-3.50581
6,10.1347,-3.18668,-0.383072,-4.01626,1.66093,0.00698034,-17.5119,-1.48653,1.3541
6,10.0413,-0.591368,-0.608127,1.61843,0.893006,-0.0227196,2.48747,3.02946,0.939985
6,9.35893,-3.90015,0.256179,0.813404,0.142299,1.12412,38.4454,-1.05736,-2.69693
6,10.4483,-1.67833,-1.10133,-0.434802,-4.27685,0.955387,13.0734,-1.27966,-4.48567
6,9.6175,-3.55778,0.395043,-3.16805,-3.69644,-1.46824,-2.37843,3.92682,-0.812352
6,10.2639,-2.14281,-0.354342,0.154501,2.06227,-1.49851,8.33996,3.54359,-0.878145
6,9.75637,-3.22738,-0.426168,-2.34828,2.79914,-1.10679,-1.50914,-2.97068,4.45131
6,10.1275,-1.66158,-0.275333,0.603991,1.23015,0.864148,-2.45269,-3.39127,2.08768
6,9.67257,-3.0143,-0.059855,45.6267,-0.849957,-4.07239,3.4248,-1.83593,-1.26065
6,10.0676,-1.90818,-0.232238,16.9472,0.0575672,3.35991,6.55855,-0.684887,3.49676
7,9.79707,-2.37744,0.277727,45.2572,-4.55152,2.73314,-8.61589,-1.75627,0.946116
7,9.98382,-1.81002,0.256179,29.0586,-0.66963,-10.3853,-1.42723,3.56196,-2.78786
7,9.65102,-2.12844,0.0287304,31.9078,1.55475,0.379164,4.86576,-0.73661,6.98131
7,9.73721,-2.13563,0.294487,21.3146,-1.94872,2.95311,0.307492,1.69089,-0.37829
7,9.9072,-1.91297,-0.172382,5.26736,1.37879,1.99848,3.82296,-3.6092,-0.527279
7,9.69412,-2.25294,0.0933738,-0.995312,-3.73677,-2.68631,-12.3546,2.38249,-1.72914
7,9.89045,-1.97522,-0.560243,-4.59676,2.09187,0.931414,16.8433,-1.26699,2.80755
7,9.73003,-2.58095,-0.059855,-4.43664,-1.19953,2.40108,-5.52604,1.43528,0.0342328
7,9.84974,-1.79565,-0.0814028,0.509466,-2.83277,-1.22605,-16.6775,-0.249271,-1.84636
7,10.1969,-2.42054,-0.371101,1.39834,3.26268,-0.816998,9.44916,-2.48307,0.367606
7,9.57681,-2.53785,0.0143652,-1.78903,2.92449,0.717804,11.8896,-1.42919,2.03703
7,10.2424,-2.51152,-0.651223,-14.8225,1.01952,0.452356,-6.16397,3.29818,-0.807532
8,9.75158,-2.30322,-0.301669,-13.2845,1.90236,-2.34688,-8.11702,-0.299235,2.0194
8,10.1418,-2.58095,-0.0861912,-16.901,1.6632,-1.38114,-14.8904,-2.8966,3.85646
8,10.0149,-2.61207,-0.471658,-18.7639,0.347967,3.32003,6.5823,3.48837,-0.962708
8,9.98142,-2.46603,-0.205901,-20.8225,-1.84433,-0.288667,4.5464,3.66299,1.01396
8,10.0844,-2.6001,-0.411803,-31.0352,0.65735,-1.75385,-4.24857,2.8779,-0.507052
8,9.95509,-2.69826,-0.565031,-21.6325,-0.977402,-1.9117,4.00255,-0.767559,2.5412
8,9.95509,-3.06937,-0.253785,-12.0134,1.67932,0.10616,2.66721,1.70311,2.10105
8,10.1801,-2.43969,-0.579397,-5.71139,1.62191,-1.59652,-7.03913,-4.73836,1.71134
8,9.95748,-2.76291,0.011971,-5.05802,-0.270958,-1.83786,12.9213,0.0566452,0.597529
8,10.0413,-2.59053,-0.804451,-3.28658,0.908928,2.71964,17.7264,-1.19818,-4.5817
8,10.2137,-3.18429,-0.0167594,-1.15035,0.841523,5.14324,-12.8821,-0.164642,1.03145
8,9.80425,-3.22738,-0.761356,0.615337,1.0528,-3.12726,-2.26298,-2.69225,-0.942103
8,10.0556,-2.81079,-0.407014,1.24282,2.61832,1.97697,5.76439,-1.02145,2.59049
9,10.1682,-3.25851,0.184353,-3.9287,0.334591,0.146959,1.93112,-1.61131,2.45123
9,10.0628,-3.5506,-0.521936,-1.19585,0.0785976,-1.97475,0.0306678,3.12808,-1.27013
9,10.1993,-3.78763,-0.129287,1.22207,2.91083,1.12337,-17.2034,1.88535,-0.542373
9,10.0628,-3.63679,-0.136469,0.459137,0.014416,-0.0965684,12.9167,1.56036,4.06145
9,10.3166,-3.83312,-0.371101,-0.0899936,-3.00001,2.77445,1.65517,-2.05814,0.406752
9,10.3573,-3.65594,-0.727837,1.36756,4.32175,-2.10176,-16.7312,-0.960136,0.589603
9,10.5872,-3.12683,-0.466869,0.264358,0.363735,2.07142,4.99727,1.80909,1.53363
9,10.3358,-3.38301,-0.399832,1.53301,-1.72204,-1.58589,10.001,-1.78839,-1.4117
9,9.89284,-3.82115,-0.83797,-2.30492,0.122786,2.17124,2.08104,-3.99704,1.99358
9,10.0987,-4.45082,-0.608127,-2.84445,-0.155257,0.494057,8.10995,2.91579,-1.66147
9,9.44273,-4.63278,-0.497994,2.46946,-2.97546,5.1156,12.6472,1.86742,2.66363
9,9.20331,-4.84107,-0.770933,3.30012,-2.32372,-2.74274,-17.5023,-4.80548,-0.959425
10,9.25119,-5.24091,-1.13006,0.0627681,0.756262,-4.16359,0.508546,1.68087,1.67327
10,9.19134,-5.91368,-1.14922,-1.24672,-0.898901,-0.0187247,17.67,-1.69318,-1.86719
10,8.23845,-6.49068,-0.754173,-2.16586,2.0229,3.05275,10.5142,-3.93617,6.04324
10,7.79552,-6.61997,-0.88346,1.67877,-1.36468,1.77142,9.6246,-2.8131,-1.79818
10,8.14986,-6.24408,-1.26174,-0.903595,1.99927,0.892802,0.496179,0.212381,1.57055
10,7.9272,-6.01423,-0.955286,-0.598122,2.65976,-2.7427,-2.41186,-2.63275,-5.07218
10,7.72848,-5.89931,-0.828393,4.31533,-0.820705,-1.93254,10.4016,0.206032,2.97927
10,7.49146,-6.60799,-1.44131,2.29888,-2.56611,1.88008,-4.5599,0.768401,-1.15874
10,7.38611,-7.45075,-1.14203,12.1302,-3.49694,0.642873,-3.47784,0.436585,3.51655
10,7.762,-7.06768,-1.01754,-0.265842,1.49773,-0.847644,-1.13925,0.824136,2.99791
10,8.08282,-5.97114,-0.943315,-4.77873,-0.417106,1.15042,-9.52177,-0.98125,-4.70909
10,7.85298,-5.87776,-0.751779,-3.59513,-2.88556,-0.432983,14.846,3.71453,-1.49548
10,7.52019,-6.62236,-1.17795,-0.736841,-1.12244,1.44054,3.41458,-1.2151,-2.09971
11,7.67102,-7.13472,-1.18274,14.736,-0.221361,-0.282993,-18.3015,0.269029,2.26091
11,8.04212,-6.46195,-1.1133,-3.70384,-0.98609,0.909936,11.9002,-1.23037,0.568725
11,7.86974,-5.76763,-0.811634,-5.67808,4.29064,-2.33976,2.1796,-0.423085,2.80776
11,8.04691,-6.05015,-1.02951,-2.82755,1.69686,-1.69958,-13.1278,-1.32873,-0.0669742
11,8.30548,-5.50427,-1.11809,1.18802,-4.66264,-0.0473783,7.82736,0.688002,-0.695474
11,8.67419,-5.38935,-0.466869,0.81375,-3.68636,0.047477,-0.194816,2.20003,-2.44522
11,8.64785,-4.68785,-0.646434,-0.113213,2.08513,0.332028,-12.8854,-0.79912,3.23484
11,8.42759,-4.81953,-0.979228,3.38324,3.41675,0.492879,16.5542,4.06188,2.89124
11,8.96628,-5.06613,-0.586579,1.43447,2.19215,-1.16877,-6.80786,-2.76407,1.83667
11,9.0405,-5.30076,-0.768538,-2.802,3.46799,3.31797,4.955,1.09771,-2.24464
11,9.4954,-4.92966,-0.694318,-3.43081,-0.360453,4.02077,1.7341,0.153767,-0.547691
11,9.6175,-3.45004,-0.263362,-0.728703,-0.664402,-0.0894727,-15.1247,2.92078,2.12854
12,10.1634,-2.19069,-0.591368,2.00385,-1.20466,-3.94441,-1.26001,-1.42312,-0.786103
12,10.2927,-3.06458,0.110133,1.19437,-1.5046,-1.14621,14.7826,6.54817,1.7974
12,9.80665,-3.37822,-0.85473,-0.533236,1.45566,3.82915,-12.1353,-2.9649,1.07715
12,9.68215,-3.96959,-1.02472,-0.664349,3.25784,-1.14135,10.1944,0.266785,-1.12492
12,9.81383,-3.14837,-0.134075,-2.93941,-0.147461,-2.57325,11.1423,-0.549714,1.87765
12,10.0628,-2.61926,-0.203507,0.599643,0.908413,-0.30455,7.81297,3.687,1.13865
12,10.2208,-3.5099,-0.328006,-0.96258,0.533384,6.83443,2.97456,2.7675,0.577613
12,9.60075,-3.06458,-0.562637,4.87286,1.70931,-0.270596,3.65586,0.0025593,1.192
12,9.97903,-2.52588,-0.179565,-3.72649,-2.44493,0.679255,-7.48596,-4.44056,0.665885
12,10.0796,-2.78206,-0.146046,0.503747,-1.79584,0.405909,4.7417,-0.300437,0.938448
12,9.91199,-2.97599,-0.452504,-2.4235,1.03904,1.11267,-12.3853,4.34158,-1.15547
12,9.90242,-3.1364,-0.6608,1.14976,3.02904,-4.83015,16.569,2.83376,0.426045
12,9.66778,-2.5163,-0.35913,0.773738,1.78302,0.562245,-6.69176,-1.35588,0.298062
13,9.7444,-2.71742,-0.387861,-0.739535,2.11017,0.841512,-4.45353,-3.18657,1.29169
13,9.89284,-3.11007,-0.490811,-0.76545,-1.43233,4.48088,8.77124,0.789178,1.64323
13,9.87608,-2.71502,-0.871489,0.726258,4.23138,-3.4286,3.00854,5.52305,0.896109
13,9.91917,-2.21464,-0.112527,1.05978,2.28696,-2.4886,-7.05145,-0.849038,0.216877
13,9.69651,-2.04944,-0.213084,16.725,2.65185,-1.59459,8.73746,-1.34081,-3.70093
13,9.77313,-2.33195,-0.31364,34.1338,3.48202,1.15769,-17.1429,-0.437827,-3.0633
13,9.80665,-2.54504,-0.476446,29.9608,1.06742,4.75938,17.8814,-3.6796,-3.1255
13,9.68454,-2.22421,-0.0622492,33.8288,2.58235,-0.401016,2.40083,-2.11486,-0.540101
13,9.67257,-2.32238,-0.342371,36.0258,-0.291711,-1.58008,-6.29369,1.51324,-1.31302
13,9.50737,-2.20506,-0.301669,22.8879,0.0193116,0.843637,4.50936,-1.30425,-3.38734
13,9.22964,-1.92733,-0.184353,8.27348,-2.02073,-3.15621,6.14741,1.9848,2.94605
13,9.85453,-2.42533,-0.232238,17.2821,0.267132,5.33219,11.7042,4.3911,-0.719515
14,9.74679,-2.26491,-0.256179,7.15312,0.244049,5.27666,6.12855,-0.95349,-3.12483
14,9.74679,-2.38462,-0.179565,5.43149,2.47696,0.0173191,-13.104,-0.141871,-0.412677
14,9.82101,-2.23139,-0.328006,6.0172,-4.03172,-3.10266,12.3614,3.37256,2.77845
14,9.57201,-2.52588,0.0047884,-6.22473,1.87237,0.172493,0.921912,-2.05525,5.41689
14,9.73721,-2.4756,-0.0861912,-11.6805,4.74857,0.539273,-9.55762,0.63202,1.57928
14,9.85693,-2.57137,-0.428562,-49.1674,-2.4836,2.04757,12.3007,-4.16519,-2.1309
14,9.83538,-3.07415,-0.0383072,-36.6276,-0.8147,0.631009,-0.868085,-4.18609,-4.79037
