time_step,x,y,z,s1,s2,s3,s4,s5,s6
5,9.75637,0.852335,0.407014,0.779652,1.73981,-2.22359,4.56498,-0.880241,-2.11952
5,10.3358,1.06781,0.246603,0.222806,-0.480842,-0.137935,-6.09119,1.91907,-1.82032
5,9.75876,1.6496,0.0191536,-0.740359,-3.23562,2.89806,2.09781,2.28947,-3.53991
5,10.0173,1.28329,-0.272939,2.74317,-4.50505,-1.19304,-6.56426,-4.51674,5.75992
5,9.56723,1.53229,0.440533,1.01888,-1.93744,-4.30457,-5.7862,0.389729,0.919263
5,9.90242,1.94649,-0.126893,0.772381,1.04776,-0.773632,12.3127,-4.72996,-5.17844
5,9.89284,0.945709,0.0311246,-0.734551,0.995543,2.92352,2.24132,1.78983,1.20397
5,9.93593,1.56581,0.143652,-1.2953,0.531209,2.33456,-31.3694,2.75869,-3.39333
5,9.78031,1.56102,0.256179,-21.1813,2.309,0.620322,-5.1747,0.153106,2.83158
5,9.98142,1.4461,0.160411,-19.9464,0.178189,-4.29357,19.2189,-1.77525,3.00155
5,9.84016,1.71185,0.342371,13.8452,0.606328,0.592777,-7.73365,5.2564,2.82564
6,9.99579,1.76453,0.162806,-12.9926,-3.97619,-0.302045,8.24614,1.4566,0.973694
6,10.0173,1.53708,0.43335,7.78013,-0.662526,2.37627,11.935,-1.12939,-3.27506
6,9.98861,1.72861,0.0742202,-17.9545,0.323879,1.39156,-12.3918,-1.55447,-0.804876
6,10.0078,1.63045,0.440533,6.84006,2.26186,-1.27049,10.704,-1.45659,-2.3672
6,10.1394,1.73819,0.457292,5.89663,1.0672,1.77935,6.13561,-4.26107,-1.94228
6,9.93833,1.46525,0.383072,5.16319,0.519231,-0.279952,-7.15178,2.74801,4.73786
6,10.0341,1.53468,0.215478,0.76181,0.254086,2.63916,19.4566,4.35936,-0.0463707
6,10.0652,1.48919,0.354342,1.04935,-1.31553,-0.732146,-21.7502,1.57204,-1.67585
6,10.0245,2.04944,0.232238,-25.0426,2.10578,0.898966,2.00684,2.46195,3.35007
6,10.0724,1.91536,0.363919,12.4866,-0.160625,1.08649,0.452776,-2.65901,-2.00066
6,10.0485,1.83635,0.344765,7.20902,-1.62602,0.590522,-0.733093,1.762,1.87428
6,10.137,1.75974,0.277727,-19.3374,0.201586,-0.843019,11.2189,-1.43836,-1.09989
7,10.1825,1.75255,0.244209,8.10798,-3.52657,-0.514986,1.52806,-0.911968,2.9946
7,9.93593,1.46525,0.158017,-12.6462,1.0561,0.0408883,-9.99088,-6.2255,-2.53463
7,9.97424,1.44849,0.323217,15.9524,0.768056,1.78882,13.0739,4.99741,0.673059
7,10.1394,1.65918,0.102951,-8.08908,1.3061,-2.98189,11.4363,-1.67975,0.19975
7,10.0078,1.49638,0.445321,-11.6736,0.723674,2.81402,-14.9387,-1.19464,-2.79383
7,10.0844,2.03986,0.0143652,-0.956345,-4.56267,0.626035,19.012,1.72838,1.55318
7,10.1562,1.82199,0.272939,-2.31507,0.734529,-1.5034,4.39936,-2.35765,-1.25115
7,10.082,2.02071,0.517147,-3.57577,1.23205,1.14522,-1.09482,-0.910864,0.0410346
7,10.1514,2.09014,0.169988,-4.53505,0.14939,1.33533,-8.10098,4.19808,-0.223414
7,10.3956,2.2721,0.543483,-3.30783,1.16992,-1.01842,-0.330321,-2.98255,0.171007
7,10.173,2.17154,0.289698,-1.41615,0.139165,1.92803,12.0601,-5.09741,2.45624
7,10.3908,2.11408,0.459687,2.8093,1.16672,-2.24963,6.93743,4.00063,1.41708
